day,cx
2022-07-08,75.83388
2022-07-09,250.3809
2022-07-10,109.630554
2022-07-11,45.446594
2022-07-12,53.900135
2022-07-13,49.12884
2022-07-14,66.58649
2022-07-15,86.326546
2022-07-16,109.90854
2022-07-17,96.445244
2022-07-18,64.50356
2022-07-19,43.594578
2022-07-20,46.900364
2022-07-21,100.991066
2022-07-22,96.15217
2022-07-23,227.8762
2022-07-24,116.707756
2022-07-25,48.656395
2022-07-26,58.582253
2022-07-27,65.14528
2022-07-28,60.124287
2022-07-29,97.39845
2022-07-30,185.2816
2022-07-31,155.1017
2022-08-01,56.505676
2022-08-02,58.69972
2022-08-03,62.561394
2022-08-04,73.728294
2022-08-05,141.94447
2022-08-06,202.34975
2022-08-07,109.02496
2022-08-08,60.032383
2022-08-09,69.45848
2022-08-10,57.238823
2022-08-11,63.41673
2022-08-12,89.54108
2022-08-13,111.92704
2022-08-14,158.41527
2022-08-15,54.804512
2022-08-16,69.948746
2022-08-17,54.13379
2022-08-18,60.309444
2022-08-19,84.98439
2022-08-20,138.37335
2022-08-21,90.13781
2022-08-22,102.75958
2022-08-23,94.20982
2022-08-24,56.510296
2022-08-25,118.8641
2022-08-26,154.04329
2022-08-27,182.33423
2022-08-28,113.88732
2022-08-29,59.225414
2022-08-30,86.78605
2022-08-31,98.33
2022-09-01,93.19115
2022-09-02,110.13211
2022-09-03,197.61525
2022-09-04,115.91132
2022-09-05,57.275726
2022-09-06,82.85096
2022-09-07,239.74115
2022-09-08,235.45819
2022-09-09,78.260185
2022-09-10,119.81673
2022-09-11,90.67194
2022-09-12,130.32678
2022-09-13,115.05991
2022-09-14,63.79534
2022-09-15,100.152565
2022-09-16,156.38046
2022-09-17,123.63567
2022-09-18,121.12805
2022-09-19,73.01239
2022-09-20,73.89969
2022-09-21,69.1259
2022-09-22,75.441216
2022-09-23,116.82411
2022-09-24,172.63078
2022-09-25,119.59923
2022-09-26,53.11071
2022-09-27,63.878986
2022-09-28,80.15479
2022-09-29,74.66172
2022-09-30,93.90987
2022-10-01,128.84122
2022-10-02,117.23222
2022-10-03,96.893364
2022-10-04,72.21856
2022-10-05,114.792366
2022-10-06,71.45315
2022-10-07,109.736336
2022-10-08,120.1645
2022-10-09,109.24604
2022-10-10,83.81794
2022-10-11,65.31371
2022-10-12,70.19796
2022-10-13,76.11589
2022-10-14,101.248055
2022-10-15,147.06932
2022-10-16,94.11187
2022-10-17,143.63847
2022-10-18,77.33406
2022-10-19,76.29067
2022-10-20,80.27796
2022-10-21,97.625725
2022-10-22,127.625694
2022-10-23,92.18584
2022-10-24,82.25021
2022-10-25,88.647446
2022-10-26,86.01709
2022-10-27,74.02481
2022-10-28,130.62686
2022-10-29,136.7714
2022-10-30,99.95544
2022-10-31,116.16936
2022-11-01,72.43624
2022-11-02,85.32508
2022-11-03,77.84287
2022-11-04,107.85044
2022-11-05,121.4197
2022-11-06,85.56834
2022-11-07,66.91823
